lng,lat,s_time,type,num
115.75414276,39.54896927,11:00:00,0,3
115.90647125,39.63021469,10:17:30,0,6
115.91828918,39.60936356,18:07:30,0,2
115.91873169,39.60909653,18:07:30,0,2
115.92507172,39.62342072,10:17:30,0,6
115.9318924,39.7438736,19:30:00,0,3
115.9414444,39.75571442,19:30:00,0,3
115.94552612,39.75950623,19:30:00,0,3
115.94636536,39.6592865,15:57:30,0,3
115.9478302,39.65748596,15:57:30,0,3
115.95585632,39.58494568,16:40:00,3,1
115.9626236,39.63365936,16:40:00,3,1
115.96495056,39.62291718,16:40:00,3,1
115.97037506,39.72021866,17:20:00,0,3
115.97907257,40.44685364,09:05:00,0,3
115.97907257,40.44685364,10:37:30,0,3
115.97981262,39.68478775,15:57:30,0,3
115.98157501,40.44190216,09:05:00,0,3
115.98229218,40.45166779,09:05:00,0,6
115.98242188,39.69153214,08:15:00,0,6
115.98249054,40.45044708,09:05:00,0,18
115.98256683,39.68585587,11:22:30,0,3
115.98256683,39.68585587,13:05:00,0,3
115.98265839,39.69149017,08:15:00,0,6
115.98272705,39.68727875,11:22:30,0,3
115.98272705,39.68727875,13:05:00,0,3
115.98579407,39.69255066,11:22:30,0,3
115.9875946,39.68695068,11:22:30,0,3
115.9875946,39.68695068,13:05:00,0,3
115.98802185,39.69203568,08:25:00,0,6
115.9885025,39.69563675,08:25:00,0,6
115.98866272,39.69496536,08:15:00,0,3
115.99000549,39.69661331,08:25:00,0,3
115.99629974,39.70513535,16:57:30,0,3
116.00112152,39.72301102,10:40:00,0,6
116.00149536,39.7051506,16:57:30,0,6
116.00540924,40.45435715,09:05:00,0,3
116.00540924,40.45435715,10:37:30,0,3
116.00642395,40.45420456,09:05:00,0,3
116.00642395,40.45420456,10:37:30,0,3
116.01148987,39.72377777,14:50:00,2,3
116.01366425,39.71306992,14:50:00,2,3
116.01742554,39.72300339,14:50:00,2,3
116.02036285,40.35990906,14:32:30,0,6
116.02036285,40.35990906,16:40:00,0,3
116.02069092,40.36074066,14:32:30,0,3
116.02365875,39.70440674,16:45:00,0,6
116.03557587,39.67378616,13:12:30,0,6
116.03834534,39.70983505,15:17:30,0,3
116.04051971,39.65660858,13:12:30,0,6
116.05138397,39.71017838,19:27:30,0,1
116.05216217,39.67666626,13:22:30,0,3
116.054039,39.71324539,19:27:30,0,6
116.05509949,39.71180344,14:17:30,0,3
116.05509949,39.71180344,17:20:00,0,6
116.05509949,39.71180344,19:27:30,0,5
116.05749512,39.70858383,19:30:00,0,3
116.05755615,39.70632172,19:30:00,0,3
116.05757904,39.65439606,09:47:30,0,3
116.05982208,39.71294403,12:45:00,0,3
116.06124115,39.69049835,13:12:30,0,6
116.06134033,39.59690857,15:12:30,2,2
116.06230927,39.68738174,13:12:30,0,6
116.0627594,39.71435547,17:17:30,0,1
116.06323242,39.67451477,18:20:00,0,1
116.06346893,39.65468216,09:47:30,0,3
116.06346893,39.70818329,17:20:00,0,3
116.06380463,39.65819931,09:47:30,0,3
116.06493378,39.69073105,10:07:30,0,6
116.06624603,39.69201279,10:07:30,0,9
116.06735992,39.71110535,17:20:00,0,3
116.06793213,39.71360016,12:45:00,0,3
