s_time,type,num
00:00:00,1,162
00:02:30,1,192
00:05:00,1,254
00:07:30,1,24
00:10:00,1,33
00:10:00,3,6
00:10:00,4,3
00:12:30,1,93
00:15:00,1,54
00:17:30,1,150
00:20:00,1,208
00:22:30,1,147
00:25:00,1,162
00:25:00,4,12
00:27:30,1,27
00:35:00,1,138
00:35:00,4,15
00:37:30,1,51
00:40:00,1,12
00:42:30,1,54
00:42:30,4,3
00:47:30,1,9
00:50:00,1,210
00:50:00,4,15
00:52:30,1,24
00:57:30,1,63
01:00:00,1,57
01:02:30,1,72
01:05:00,1,240
01:05:00,4,15
01:07:30,1,117
01:10:00,1,123
01:12:30,1,36
01:15:00,1,194
01:17:30,1,95
01:20:00,1,96
01:22:30,1,180
01:25:00,1,141
01:27:30,0,3
01:27:30,1,63
01:27:30,4,3
01:30:00,1,153
01:30:00,4,6
01:32:30,1,165
01:32:30,4,6
01:35:00,1,30
01:37:30,1,12
01:37:30,4,9
01:42:30,1,45
01:45:00,1,48
01:47:30,1,15
01:50:00,1,57
01:52:30,1,36
01:55:00,1,279
01:57:30,1,82
02:00:00,1,39
02:02:30,1,51
02:05:00,1,33
02:07:30,1,12
02:15:00,1,23
02:17:30,1,9
02:45:00,1,3
02:47:30,4,6
02:52:30,1,3
03:05:00,1,1
03:27:30,1,3
03:40:00,1,9
04:00:00,1,3
04:20:00,1,3
05:57:30,4,3
06:07:30,0,12
06:27:30,0,30
06:30:00,0,9
06:35:00,0,24
06:42:30,0,15
06:45:00,0,12
06:47:30,0,27
06:50:00,0,111
06:52:30,0,75
06:55:00,0,24
06:57:30,0,30
06:57:30,4,6
07:00:00,0,15
07:00:00,2,4
07:00:00,4,6
07:02:30,0,66
07:05:00,0,71
07:05:00,4,3
07:07:30,0,144
07:07:30,4,3
07:10:00,0,42
07:12:30,0,92
07:15:00,0,60
07:15:00,4,3
07:17:30,0,105
07:17:30,4,3
07:20:00,0,123
07:20:00,2,1
07:20:00,4,4
07:22:30,0,144
07:22:30,4,9
07:25:00,0,135
07:25:00,2,3
07:25:00,4,3
07:27:30,0,216
07:30:00,0,167
07:32:30,0,78
07:32:30,2,3
07:35:00,0,125
07:35:00,2,1
07:37:30,0,104
07:40:00,0,139
07:40:00,4,6
07:42:30,0,210
07:42:30,2,3
07:45:00,0,164
07:45:00,4,21
07:47:30,0,188
07:47:30,4,9
07:50:00,0,96
07:50:00,2,3
07:50:00,4,15
07:52:30,0,114
07:52:30,4,15
07:55:00,0,169
07:55:00,4,9
07:57:30,0,175
07:57:30,4,9
08:00:00,0,225
08:02:30,0,278
08:02:30,4,9
08:05:00,0,262
08:07:30,0,148
08:07:30,4,16
08:10:00,0,229
08:12:30,0,227
08:15:00,0,156
08:15:00,4,6
08:17:30,0,202
08:17:30,4,6
08:20:00,0,213
08:20:00,2,6
08:22:30,0,196
08:22:30,2,30
08:22:30,4,9
08:25:00,0,272
08:25:00,2,1
08:25:00,4,3
08:27:30,0,204
08:27:30,4,7
08:30:00,0,200
08:30:00,4,15
08:32:30,0,264
08:35:00,0,231
08:35:00,4,15
08:37:30,0,157
08:40:00,0,272
08:40:00,4,3
08:42:30,0,263
08:45:00,0,264
08:45:00,4,3
08:47:30,0,324
08:47:30,4,3
08:50:00,0,306
