,area,s_time,num
0,东城区,00:07:30,6
1,东城区,00:15:00,6
2,东城区,00:20:00,9
3,东城区,00:42:30,3
4,东城区,01:02:30,9
5,东城区,05:05:00,1
6,东城区,06:27:30,2
7,东城区,06:42:30,4
8,东城区,08:02:30,3
9,东城区,08:05:00,6
10,东城区,08:17:30,2
11,东城区,08:25:00,5
12,东城区,08:35:00,1
13,东城区,08:37:30,3
14,东城区,09:20:00,10
15,东城区,09:47:30,2
16,东城区,10:05:00,2
17,东城区,10:20:00,3
18,东城区,10:22:30,4
19,东城区,10:25:00,1
20,东城区,10:27:30,1
21,东城区,10:30:00,2
22,东城区,10:40:00,3
23,东城区,10:42:30,2
24,东城区,10:50:00,4
25,东城区,10:52:30,9
26,东城区,10:55:00,2
27,东城区,11:17:30,2
28,东城区,11:35:00,6
29,东城区,11:37:30,11
30,东城区,11:42:30,2
31,东城区,11:52:30,5
32,东城区,11:55:00,4
33,东城区,12:00:00,8
34,东城区,12:07:30,8
35,东城区,12:15:00,4
36,东城区,12:17:30,5
37,东城区,12:32:30,4
38,东城区,12:40:00,2
39,东城区,12:52:30,3
40,东城区,13:02:30,5
41,东城区,13:12:30,5
42,东城区,13:15:00,1
43,东城区,13:17:30,6
44,东城区,13:25:00,3
45,东城区,13:27:30,5
46,东城区,13:30:00,5
47,东城区,13:42:30,6
48,东城区,14:05:00,3
49,东城区,14:22:30,4
50,东城区,14:27:30,8
51,东城区,14:37:30,5
52,东城区,14:40:00,2
53,东城区,14:42:30,1
54,东城区,14:45:00,1
55,东城区,14:47:30,4
56,东城区,14:50:00,4
57,东城区,14:57:30,4
58,东城区,15:00:00,3
59,东城区,15:07:30,5
60,东城区,15:15:00,4
61,东城区,15:17:30,1
62,东城区,15:25:00,6
63,东城区,15:32:30,3
64,东城区,15:35:00,1
65,东城区,15:52:30,3
66,东城区,15:55:00,2
67,东城区,16:02:30,7
68,东城区,16:12:30,10
69,东城区,16:17:30,2
70,东城区,16:20:00,4
71,东城区,16:55:00,3
72,东城区,17:00:00,1
73,东城区,17:10:00,1
74,东城区,17:27:30,2
75,东城区,17:30:00,1
76,东城区,18:07:30,1
77,东城区,18:12:30,1
78,东城区,18:15:00,3
79,东城区,18:22:30,8
80,东城区,18:40:00,3
81,东城区,18:45:00,2
82,东城区,19:05:00,2
83,东城区,19:17:30,8
84,东城区,19:20:00,2
85,东城区,19:27:30,5
86,东城区,20:05:00,3
87,东城区,20:10:00,4
88,东城区,20:17:30,9
89,东城区,20:30:00,5
90,东城区,20:42:30,10
91,东城区,20:52:30,1
92,东城区,20:57:30,4
93,东城区,21:00:00,15
94,东城区,21:02:30,9
95,东城区,21:07:30,5
96,东城区,21:12:30,5
97,东城区,21:25:00,10
98,东城区,21:47:30,11
99,东城区,21:50:00,3
100,东城区,21:52:30,3
101,东城区,22:00:00,15
102,东城区,22:05:00,4
103,东城区,22:12:30,4
104,东城区,22:22:30,4
105,东城区,22:40:00,9
106,东城区,22:42:30,14
107,东城区,22:45:00,10
108,东城区,22:55:00,5
109,东城区,23:07:30,3
110,东城区,23:10:00,5
111,东城区,23:12:30,5
112,东城区,23:17:30,7
113,东城区,23:40:00,5
114,丰台区,06:25:00,1
115,丰台区,06:45:00,10
116,丰台区,06:50:00,5
117,丰台区,06:52:30,4
118,丰台区,06:57:30,1
119,丰台区,07:07:30,9
120,丰台区,07:30:00,21
121,丰台区,07:37:30,6
122,丰台区,07:42:30,5
123,丰台区,07:50:00,5
124,丰台区,07:52:30,19
125,丰台区,08:00:00,2
126,丰台区,08:02:30,9
127,丰台区,08:05:00,7
128,丰台区,08:07:30,12
129,丰台区,08:10:00,19
130,丰台区,08:12:30,3
131,丰台区,08:17:30,9
132,丰台区,08:20:00,4
133,丰台区,08:22:30,10
134,丰台区,08:27:30,9
135,丰台区,08:30:00,19
136,丰台区,08:32:30,5
137,丰台区,08:35:00,4
138,丰台区,08:37:30,10
139,丰台区,08:40:00,19
140,丰台区,08:42:30,4
141,丰台区,08:45:00,5
142,丰台区,08:47:30,3
143,丰台区,08:50:00,14
144,丰台区,08:52:30,2
145,丰台区,08:57:30,4
146,丰台区,09:00:00,11
147,丰台区,09:02:30,13
148,丰台区,09:05:00,3
149,丰台区,09:07:30,3
150,丰台区,09:10:00,3
151,丰台区,09:12:30,5
152,丰台区,09:15:00,8
153,丰台区,09:22:30,4
154,丰台区,09:25:00,14
155,丰台区,09:32:30,4
156,丰台区,09:35:00,8
157,丰台区,09:40:00,4
158,丰台区,09:42:30,7
159,丰台区,09:45:00,4
160,丰台区,09:47:30,18
161,丰台区,10:02:30,3
162,丰台区,10:05:00,10
163,丰台区,10:07:30,5
164,丰台区,10:12:30,8
165,丰台区,10:17:30,10
166,丰台区,10:22:30,14
167,丰台区,10:25:00,6
168,丰台区,10:27:30,9
169,丰台区,10:30:00,5
170,丰台区,10:32:30,8
171,丰台区,10:37:30,4
172,丰台区,10:40:00,5
173,丰台区,10:50:00,1
174,丰台区,10:52:30,1
175,丰台区,11:00:00,4
176,丰台区,11:02:30,4
177,丰台区,11:05:00,10
178,丰台区,11:07:30,23
179,丰台区,11:10:00,6
180,丰台区,11:12:30,5
181,丰台区,11:15:00,9
182,丰台区,11:17:30,7
183,丰台区,11:20:00,10
184,丰台区,11:22:30,4
185,丰台区,11:27:30,19
186,丰台区,11:30:00,3
187,丰台区,11:32:30,5
188,丰台区,11:35:00,5
189,丰台区,11:37:30,1
190,丰台区,11:40:00,23
191,丰台区,11:42:30,5
192,丰台区,11:47:30,3
193,丰台区,11:50:00,1
194,丰台区,11:55:00,20
195,丰台区,11:57:30,4
196,丰台区,12:05:00,5
197,丰台区,12:10:00,9
198,丰台区,12:12:30,5
199,丰台区,12:15:00,7
200,丰台区,12:17:30,4
201,丰台区,12:20:00,8
202,丰台区,12:22:30,13
203,丰台区,12:25:00,10
204,丰台区,12:27:30,1
205,丰台区,12:30:00,9
206,丰台区,12:32:30,9
207,丰台区,12:40:00,2
208,丰台区,12:42:30,5
209,丰台区,12:45:00,4
210,丰台区,12:47:30,1
211,丰台区,12:52:30,2
212,丰台区,12:55:00,10
213,丰台区,12:57:30,6
214,丰台区,13:00:00,3
215,丰台区,13:10:00,3
216,丰台区,13:12:30,5
217,丰台区,13:15:00,10
218,丰台区,13:17:30,10
219,丰台区,13:22:30,5
220,丰台区,13:25:00,4
221,丰台区,13:27:30,14
222,丰台区,13:30:00,2
223,丰台区,13:32:30,5
224,丰台区,13:40:00,5
225,丰台区,13:42:30,13
226,丰台区,13:50:00,1
227,丰台区,13:55:00,5
228,丰台区,13:57:30,4
229,丰台区,14:07:30,4
230,丰台区,14:10:00,4
231,丰台区,14:12:30,5
232,丰台区,14:15:00,4
233,丰台区,14:22:30,2
234,丰台区,14:27:30,5
235,丰台区,14:32:30,3
236,丰台区,14:37:30,11
237,丰台区,14:40:00,2
238,丰台区,14:42:30,4
239,丰台区,14:52:30,5
240,丰台区,14:55:00,10
241,丰台区,15:00:00,4
242,丰台区,15:02:30,7
243,丰台区,15:05:00,5
244,丰台区,15:15:00,1
245,丰台区,15:20:00,3
246,丰台区,15:25:00,5
247,丰台区,15:27:30,10
248,丰台区,15:32:30,3
249,丰台区,15:37:30,4
250,丰台区,15:40:00,3
251,丰台区,15:42:30,4
252,丰台区,15:52:30,12
253,丰台区,15:55:00,4
254,丰台区,16:00:00,4
255,丰台区,16:02:30,4
256,丰台区,16:12:30,4
257,丰台区,16:17:30,4
258,丰台区,16:25:00,19
259,丰台区,16:27:30,2
260,丰台区,16:30:00,8
261,丰台区,16:32:30,3
262,丰台区,16:35:00,4
263,丰台区,16:42:30,6
264,丰台区,16:45:00,13
265,丰台区,16:47:30,4
266,丰台区,16:52:30,5
267,丰台区,16:55:00,1
268,丰台区,16:57:30,14
269,丰台区,17:00:00,5
270,丰台区,17:02:30,12
271,丰台区,17:05:00,7
272,丰台区,17:07:30,5
273,丰台区,17:10:00,15
274,丰台区,17:12:30,10
275,丰台区,17:15:00,9
276,丰台区,17:17:30,7
277,丰台区,17:20:00,17
278,丰台区,17:22:30,3
279,丰台区,17:25:00,5
280,丰台区,17:27:30,20
281,丰台区,17:30:00,14
282,丰台区,17:32:30,10
283,丰台区,17:35:00,10
284,丰台区,17:37:30,13
285,丰台区,17:40:00,3
286,丰台区,17:42:30,3
287,丰台区,17:47:30,4
288,丰台区,17:50:00,12
289,丰台区,17:52:30,7
290,丰台区,17:55:00,5
291,丰台区,18:00:00,4
292,丰台区,18:02:30,12
293,丰台区,18:05:00,5
294,丰台区,18:07:30,9
295,丰台区,18:15:00,2
296,丰台区,18:17:30,7
297,丰台区,18:22:30,8
298,丰台区,18:25:00,2
299,丰台区,18:30:00,5
300,丰台区,18:32:30,9
301,丰台区,18:37:30,8
302,丰台区,18:40:00,17
303,丰台区,18:42:30,9
304,丰台区,18:45:00,5
305,丰台区,18:47:30,13
306,丰台区,18:50:00,10
307,丰台区,18:52:30,3
308,丰台区,18:55:00,13
309,丰台区,18:57:30,2
310,丰台区,19:00:00,8
311,丰台区,19:02:30,8
312,丰台区,19:07:30,11
313,丰台区,19:10:00,3
314,丰台区,19:12:30,7
315,丰台区,19:15:00,4
316,丰台区,19:17:30,7
317,丰台区,19:20:00,2
318,丰台区,19:25:00,8
319,丰台区,19:30:00,8
320,丰台区,19:32:30,1
321,丰台区,19:35:00,3
322,丰台区,19:40:00,16
323,丰台区,19:55:00,10
324,丰台区,20:07:30,8
325,丰台区,20:10:00,14
326,丰台区,20:12:30,7
327,丰台区,20:15:00,5
328,丰台区,20:17:30,13
329,丰台区,20:20:00,4
330,丰台区,20:32:30,1
331,丰台区,20:35:00,3
332,丰台区,20:37:30,10
333,丰台区,20:40:00,6
334,丰台区,20:52:30,2
335,丰台区,23:52:30,2
336,大兴区,00:15:00,3
337,大兴区,01:27:30,4
338,大兴区,01:32:30,13
339,大兴区,01:37:30,5
340,大兴区,01:57:30,4
341,大兴区,05:55:00,4
342,大兴区,06:50:00,1
343,大兴区,07:07:30,1
344,大兴区,07:22:30,3
345,大兴区,07:30:00,2
346,大兴区,07:42:30,5
347,大兴区,08:20:00,2
348,大兴区,08:22:30,3
349,大兴区,08:25:00,4
350,大兴区,08:35:00,4
351,大兴区,09:10:00,5
352,大兴区,09:22:30,10
353,大兴区,09:25:00,3
354,大兴区,09:35:00,4
355,大兴区,09:47:30,3
356,大兴区,09:55:00,7
357,大兴区,10:05:00,5
358,大兴区,11:20:00,8
359,大兴区,11:30:00,7
360,大兴区,11:42:30,4
361,大兴区,11:50:00,5
362,大兴区,11:55:00,8
363,大兴区,12:07:30,5
364,大兴区,12:20:00,2
365,大兴区,12:30:00,1
366,大兴区,12:40:00,2
367,大兴区,12:52:30,4
368,大兴区,13:52:30,5
369,大兴区,14:10:00,5
370,大兴区,14:12:30,5
371,大兴区,14:25:00,5
372,大兴区,14:27:30,9
373,大兴区,14:30:00,10
374,大兴区,15:35:00,4
375,大兴区,15:55:00,2
376,大兴区,16:05:00,3
377,大兴区,16:17:30,1
378,大兴区,16:27:30,3
379,大兴区,16:30:00,7
380,大兴区,16:40:00,8
381,大兴区,16:42:30,5
382,大兴区,17:00:00,4
383,大兴区,17:02:30,3
384,大兴区,17:05:00,13
385,大兴区,17:07:30,3
386,大兴区,17:50:00,3
387,大兴区,18:02:30,1
388,大兴区,18:15:00,3
389,大兴区,18:17:30,2
390,大兴区,18:50:00,2
391,大兴区,19:07:30,5
392,大兴区,19:40:00,1
393,大兴区,19:45:00,5
394,大兴区,19:55:00,2
395,大兴区,21:52:30,1
396,大兴区,22:12:30,1
397,密云县,09:27:30,5
398,密云县,09:37:30,4
399,密云县,09:42:30,4
400,密云县,10:17:30,5
401,密云县,11:00:00,5
402,密云县,13:32:30,4
403,密云县,13:42:30,2
404,密云县,14:30:00,4
405,密云县,14:42:30,8
406,密云县,14:57:30,4
407,密云县,15:05:00,5
408,密云县,15:10:00,5
409,密云县,15:25:00,5
410,密云县,16:45:00,5
411,平谷区,07:57:30,1
412,平谷区,14:45:00,3
413,延庆县,14:45:00,4
414,房山区,07:10:00,7
415,房山区,07:15:00,10
416,房山区,07:17:30,3
417,房山区,07:20:00,18
418,房山区,07:32:30,5
419,房山区,07:37:30,2
420,房山区,08:10:00,4
421,房山区,08:15:00,3
422,房山区,08:27:30,4
423,房山区,08:32:30,4
424,房山区,08:40:00,3
425,房山区,08:50:00,9
426,房山区,09:00:00,6
427,房山区,09:15:00,4
428,房山区,09:20:00,5
429,房山区,09:25:00,10
430,房山区,09:37:30,3
431,房山区,09:55:00,2
432,房山区,10:02:30,5
433,房山区,10:20:00,6
434,房山区,10:47:30,9
435,房山区,10:50:00,4
436,房山区,10:55:00,5
437,房山区,11:50:00,5
438,房山区,11:57:30,5
439,房山区,12:00:00,3
440,房山区,12:45:00,14
441,房山区,12:50:00,3
